"date" "party" "amt"
2011-01-01 "Republican" 60100
2011-02-01 "Republican" 40035
2011-03-01 "Republican" 527760
2011-04-01 "Democrat" 8220580
2011-04-01 "Republican" 3126121
2011-05-01 "Democrat" 6537819
2011-05-01 "Republican" 8812080
2011-06-01 "Democrat" 11642952
2011-06-01 "Republican" 12269573
2011-07-01 "Democrat" 3417400
2011-07-01 "Republican" 3799250
2011-08-01 "Democrat" 4619995
2011-08-01 "Republican" 9849448
2011-09-01 "Democrat" 15165846
2011-09-01 "Republican" 19157927
2011-10-01 "Democrat" 5744964
2011-10-01 "Republican" 9242594
2011-11-01 "Democrat" 5076179
2011-11-01 "Republican" 11976943
2011-12-01 "Democrat" 13415831
2011-12-01 "Republican" 14666555
2012-01-01 "Democrat" 7985184
2012-01-01 "Republican" 10447454
2012-02-01 "Democrat" 15602542
2012-02-01 "Republican" 15510182
2012-03-01 "Democrat" 20583050
2012-03-01 "Republican" 14275157
2012-04-01 "Democrat" 15491811
2012-04-01 "Republican" 9830115
