"date" "party" "cumpartyamt"
2011-01-01 "Republican" 60100
2011-02-01 "Republican" 100135
2011-03-01 "Republican" 627895
2011-04-01 "Democrat" 8220580
2011-04-01 "Republican" 3754016
2011-05-01 "Democrat" 14758399
2011-05-01 "Republican" 12566096
2011-06-01 "Democrat" 26401351
2011-06-01 "Republican" 24835669
2011-07-01 "Democrat" 29818751
2011-07-01 "Republican" 28634919
2011-08-01 "Democrat" 34438746
2011-08-01 "Republican" 38484367
2011-09-01 "Democrat" 49604592
2011-09-01 "Republican" 57642294
2011-10-01 "Democrat" 55349556
2011-10-01 "Republican" 66884888
2011-11-01 "Democrat" 60425735
2011-11-01 "Republican" 78861831
2011-12-01 "Democrat" 73841566
2011-12-01 "Republican" 93528386
2012-01-01 "Democrat" 81826750
2012-01-01 "Republican" 103975840
2012-02-01 "Democrat" 97429292
2012-02-01 "Republican" 119486022
2012-03-01 "Democrat" 118012342
2012-03-01 "Republican" 133761179
2012-04-01 "Democrat" 133504153
2012-04-01 "Republican" 143591294
